# /home/minyez/Documents/SelfDevelopment/codes/mushroom/scripts/m_gap_degw -e CuAlO2.eqpeV_GW0 -o degw-gw0.dat
#unit:eV nbands:34 nkpts:32
#KS degw 
#Band 7
25.606000 1.428000
24.920000 1.587000
24.253000 1.264000
26.210000 1.432000
25.242000 1.243000
22.347000 0.891000
24.208000 0.953000
23.459000 1.181000
24.170000 1.006000
23.953000 1.238000
22.349000 0.509000
#Band 35
24.381000 1.037000
25.080000 1.014000
25.447000 1.242000
25.573000 1.108000
25.018000 1.200000
25.933000 1.558000
26.897000 1.994000
26.827000 1.914000
25.463000 1.469000
25.565000 1.430000
25.962000 1.575000
27.518000 2.039000
25.916000 1.358000
23.910000 0.961000
24.624000 0.992000
26.050000 1.189000
26.114000 1.563000
25.463000 1.450000
25.222000 1.275000
25.747000 1.348000
26.090000 1.445000
26.176000 1.542000
25.741000 1.265000
25.505000 1.271000
27.301000 1.990000
25.740000 1.576000
23.109000 1.218000
24.686000 1.173000
26.139000 1.193000
25.321000 1.062000
25.596000 1.166000
23.116000 1.542000
#Band 36
25.096000 1.155000
25.371000 1.217000
27.110000 1.803000
26.951000 1.933000
25.750000 1.155000
27.015000 1.510000
27.740000 1.730000
27.373000 1.812000
27.229000 1.390000
26.657000 1.267000
27.317000 1.915000
27.683000 1.835000
25.979000 1.443000
24.010000 1.036000
25.203000 1.043000
26.907000 1.863000
27.107000 2.208000
27.167000 1.633000
26.236000 1.387000
26.558000 1.230000
27.286000 1.792000
27.371000 1.851000
26.130000 1.387000
26.993000 1.863000
27.799000 1.902000
27.218000 2.145000
23.109000 1.218000
25.235000 1.050000
26.619000 1.811000
25.768000 1.044000
26.023000 1.016000
23.116000 1.542000
#Band 37
25.096000 1.155000
25.731000 1.056000
28.605000 1.590000
27.079000 2.218000
26.620000 1.137000
27.353000 1.234000
28.578000 1.412000
28.780000 1.363000
27.494000 1.330000
27.798000 1.561000
28.279000 1.682000
29.018000 1.339000
27.498000 1.969000
24.010000 1.036000
25.620000 1.193000
28.045000 1.825000
27.621000 1.607000
28.636000 1.631000
26.355000 1.055000
27.390000 1.481000
28.001000 1.924000
27.778000 1.595000
27.178000 1.593000
27.899000 1.954000
28.987000 1.320000
27.277000 1.400000
23.657000 0.904000
25.972000 1.203000
27.552000 1.755000
26.609000 1.216000
27.350000 1.512000
24.434000 0.928000
#Band 38
26.015000 1.231000
28.139000 1.437000
29.018000 1.692000
29.693000 1.807000
27.262000 1.184000
29.093000 1.342000
29.339000 1.714000
29.501000 1.772000
29.010000 1.592000
30.220000 1.555000
28.664000 1.456000
29.030000 1.307000
28.430000 1.674000
27.378000 1.339000
27.908000 1.227000
28.393000 1.401000
29.686000 1.770000
29.990000 1.604000
27.142000 1.210000
28.091000 1.497000
29.609000 1.551000
29.387000 1.647000
29.495000 1.468000
29.678000 1.552000
29.058000 1.327000
29.291000 1.781000
26.980000 1.192000
27.004000 1.001000
28.502000 1.368000
26.865000 1.617000
28.009000 1.729000
25.692000 1.135000
#Band 39
26.015000 1.231000
28.294000 1.379000
31.442000 1.492000
30.105000 1.959000
27.803000 1.338000
29.544000 1.587000
30.693000 1.660000
30.564000 1.497000
30.371000 1.499000
31.002000 1.816000
30.561000 1.868000
31.286000 1.516000
29.557000 1.913000
27.378000 1.339000
28.607000 1.563000
31.403000 1.433000
29.846000 1.560000
31.307000 1.534000
27.417000 1.090000
29.316000 1.518000
30.341000 1.819000
30.455000 1.656000
30.914000 1.565000
30.272000 1.623000
31.131000 1.450000
29.352000 1.727000
29.028000 1.494000
28.016000 1.578000
31.178000 1.377000
27.656000 1.296000
29.203000 1.477000
29.185000 1.408000
#Band 40
28.939000 1.265000
29.651000 1.382000
31.545000 1.533000
31.193000 1.621000
29.196000 1.320000
30.632000 1.583000
31.430000 1.596000
31.472000 1.814000
31.119000 1.520000
31.376000 1.516000
30.837000 1.449000
32.442000 1.597000
30.600000 1.607000
28.505000 1.263000
29.164000 1.370000
31.722000 1.647000
29.956000 1.930000
31.329000 1.526000
28.598000 1.291000
30.923000 1.565000
31.161000 1.377000
31.701000 1.728000
31.058000 1.622000
30.539000 1.573000
32.166000 1.771000
29.837000 1.695000
29.028000 1.494000
28.297000 1.501000
31.425000 1.715000
27.660000 1.109000
31.149000 1.443000
29.185000 1.408000
